,source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
0,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING","(FOR HORTICULTURE), UNDER PROTECTION",ALL UTILIZATION PRACTICES,AREA IRRIGATED,SQ FT,"ENERGY, IRRIGATION, ON FARM PUMPING, (FOR HORTICULTURE), UNDER PROTECTION - SQ FT IRRIGATED",WATER SOURCE,WATER SOURCE: (GROUND),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"25,723,027",
1,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING","(FOR HORTICULTURE), UNDER PROTECTION",ALL UTILIZATION PRACTICES,AREA IRRIGATED,SQ FT,"ENERGY, IRRIGATION, ON FARM PUMPING, (FOR HORTICULTURE), UNDER PROTECTION - SQ FT IRRIGATED",WATER SOURCE,WATER SOURCE: (SURFACE),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"17,933,053",
2,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING",IN THE OPEN,ALL UTILIZATION PRACTICES,AREA IRRIGATED,ACRES,"ENERGY, IRRIGATION, ON FARM PUMPING, IN THE OPEN - ACRES IRRIGATED",WATER SOURCE,WATER SOURCE: (GROUND),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"511,998",
3,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING",IN THE OPEN,ALL UTILIZATION PRACTICES,AREA IRRIGATED,ACRES,"ENERGY, IRRIGATION, ON FARM PUMPING, IN THE OPEN - ACRES IRRIGATED",WATER SOURCE,WATER SOURCE: (SURFACE),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"722,381",
4,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING, DIESEL & BIODIESEL","(FOR HORTICULTURE), UNDER PROTECTION",ALL UTILIZATION PRACTICES,AREA IRRIGATED,SQ FT,"ENERGY, IRRIGATION, ON FARM PUMPING, DIESEL & BIODIESEL, (FOR HORTICULTURE), UNDER PROTECTION - SQ FT IRRIGATED",WATER SOURCE,WATER SOURCE: (GROUND),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00, (D),
5,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING, DIESEL & BIODIESEL","(FOR HORTICULTURE), UNDER PROTECTION",ALL UTILIZATION PRACTICES,AREA IRRIGATED,SQ FT,"ENERGY, IRRIGATION, ON FARM PUMPING, DIESEL & BIODIESEL, (FOR HORTICULTURE), UNDER PROTECTION - SQ FT IRRIGATED",WATER SOURCE,WATER SOURCE: (SURFACE),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,3,
6,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING, DIESEL & BIODIESEL",IN THE OPEN,ALL UTILIZATION PRACTICES,AREA IRRIGATED,ACRES,"ENERGY, IRRIGATION, ON FARM PUMPING, DIESEL & BIODIESEL, IN THE OPEN - ACRES IRRIGATED",WATER SOURCE,WATER SOURCE: (GROUND),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"19,854",
7,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING, DIESEL & BIODIESEL",IN THE OPEN,ALL UTILIZATION PRACTICES,AREA IRRIGATED,ACRES,"ENERGY, IRRIGATION, ON FARM PUMPING, DIESEL & BIODIESEL, IN THE OPEN - ACRES IRRIGATED",WATER SOURCE,WATER SOURCE: (SURFACE),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"33,980",
8,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING, ELECTRICITY","(FOR HORTICULTURE), UNDER PROTECTION",ALL UTILIZATION PRACTICES,AREA IRRIGATED,SQ FT,"ENERGY, IRRIGATION, ON FARM PUMPING, ELECTRICITY, (FOR HORTICULTURE), UNDER PROTECTION - SQ FT IRRIGATED",WATER SOURCE,WATER SOURCE: (GROUND),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"25,523,024",
9,CENSUS,ECONOMICS,IRRIGATION,ENERGY,"IRRIGATION, ON FARM PUMPING, ELECTRICITY","(FOR HORTICULTURE), UNDER PROTECTION",ALL UTILIZATION PRACTICES,AREA IRRIGATED,SQ FT,"ENERGY, IRRIGATION, ON FARM PUMPING, ELECTRICITY, (FOR HORTICULTURE), UNDER PROTECTION - SQ FT IRRIGATED",WATER SOURCE,WATER SOURCE: (SURFACE),STATE,41,41,OR,OREGON,,,,,,,,0,,,9000,UNITED STATES,OREGON,2013,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"17,003,050",
