FID,AREA,PERIMETER,AGCENSP020,STATE,COUNTY,FIPS,ST,M003_07,M009_07,M010_07,M011_07,M013_07,M016_07,M026_07,M050_07,M086_07,M089_07,M118_07,M124_07,M127_07,M136_07,M147_07,M023_07,M142_07,M163_07,M099_07,M090_07,M172_07,M188_07,M193_07,M217_07,M233_07,M234_07,Shape_Leng,Shape_Area
1,0.00023,0.07321,1560,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,6735.746593,1967077.935
2,0.00015,0.05861,1567,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,4837.949585,1295239.352
3,3.00E-05,0.02698,1568,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,2228.238548,254734.7051
4,0.00014,0.07613,1569,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,6272.986554,1174675.013
5,0.00021,0.07221,1570,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,6045.877885,1821477.515
6,8.00E-05,0.04413,1571,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,3619.865339,690903.3869
7,0.0001,0.04612,1572,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,4052.154978,870083.0156
8,0.0001,0.04737,1576,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,4213.992751,824842.27
9,0.00081,0.12017,1577,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,10849.23432,6927550.178
10,0.24218,2.96533,1578,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,274627.5344,2080686047
11,0.0002,0.07673,1581,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,6573.097606,1746764.267
12,0.00032,0.08244,1589,OR,Clatsop,41007,41,93,79.04,17.03,3.93,41801,248.47,88.79,34585.22,33.98,20.37,89.96,59.88,25.76,24.79,37.86,0,24.39,0,60048,8.99,0,0,0,1,11,0,7286.232335,2748765.169
