,source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
506,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,10,NORTHWEST,5,5,CLACKAMAS,,,0,,,9000,UNITED STATES,"OREGON, NORTHWEST, CLACKAMAS",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"85,569",4.7
507,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,10,NORTHWEST,39,39,LANE,,,0,,,9000,UNITED STATES,"OREGON, NORTHWEST, LANE",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"28,136",4.7
508,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,10,NORTHWEST,43,43,LINN,,,0,,,9000,UNITED STATES,"OREGON, NORTHWEST, LINN",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"294,697",4.7
509,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,10,NORTHWEST,47,47,MARION,,,0,,,9000,UNITED STATES,"OREGON, NORTHWEST, MARION",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"98,688",4.7
510,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,10,NORTHWEST,53,53,POLK,,,0,,,9000,UNITED STATES,"OREGON, NORTHWEST, POLK",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"69,544",4.7
511,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,10,NORTHWEST,67,67,WASHINGTON,,,0,,,9000,UNITED STATES,"OREGON, NORTHWEST, WASHINGTON",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"205,229",4.7
512,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,10,NORTHWEST,71,71,YAMHILL,,,0,,,9000,UNITED STATES,"OREGON, NORTHWEST, YAMHILL",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"430,985",4.7
513,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,20,NORTH CENTRAL,27,27,HOOD RIVER,,,0,,,9000,UNITED STATES,"OREGON, NORTH CENTRAL, HOOD RIVER",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"75,646",4.7
514,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,30,NORTHEAST,59,59,UMATILLA,,,0,,,9000,UNITED STATES,"OREGON, NORTHEAST, UMATILLA",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"101,159",4.7
515,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,70,SOUTHWEST,19,19,DOUGLAS,,,0,,,9000,UNITED STATES,"OREGON, SOUTHWEST, DOUGLAS",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"166,467",4.7
516,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,70,SOUTHWEST,29,29,JACKSON,,,0,,,9000,UNITED STATES,"OREGON, SOUTHWEST, JACKSON",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"38,446",4.7
517,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,70,SOUTHWEST,33,33,JOSEPHINE,,,0,,,9000,UNITED STATES,"OREGON, SOUTHWEST, JOSEPHINE",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"23,378",4.7
518,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,80,SOUTHEAST,17,17,DESCHUTES,,,0,,,9000,UNITED STATES,"OREGON, SOUTHEAST, DESCHUTES",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"21,160",4.7
519,CENSUS,DEMOGRAPHICS,EXPENSES,EXPENSE TOTALS,OPERATING,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,EXPENSE,$ / OPERATION,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",OPERATORS,OPERATORS: (ETHNICITY = HISPANIC),COUNTY,41,41,OR,OREGON,80,SOUTHEAST,35,35,KLAMATH,,,0,,,9000,UNITED STATES,"OREGON, SOUTHEAST, KLAMATH",2012,ANNUAL,0,0,YEAR,,2012-12-31 00:00:00,"69,999",4.7
