county_name,year,Acres
BENTON,2012,40776.0
BENTON,2007,34326.0
BENTON,2002,34659.0
BENTON,1997,28476.0
CLACKAMAS,2012,26445.0
CLACKAMAS,2007,36691.0
CLACKAMAS,2002,39485.0
CLACKAMAS,1997,37614.0
CLATSOP,2012,2003.0
CLATSOP,2007,3793.0
CLATSOP,2002,3976.0
CLATSOP,1997,5498.0
COLUMBIA,2012,8943.0
COLUMBIA,2007,10002.0
COLUMBIA,2002,9765.0
COLUMBIA,1997,15599.0
LANE,2012,37114.0
LANE,2007,35817.0
LANE,2002,34752.0
LANE,1997,45647.0
LINCOLN,2012,3325.0
LINCOLN,2007,3991.0
LINCOLN,2002,3396.0
LINCOLN,1997,4266.0
LINN,2012,83313.0
LINN,2007,89302.0
LINN,2002,81040.0
LINN,1997,88499.0
MARION,2012,83155.0
MARION,2007,72470.0
MARION,2002,80791.0
MARION,1997,86464.0
MULTNOMAH,2012,4842.0
MULTNOMAH,2007,6615.0
MULTNOMAH,2002,7973.0
MULTNOMAH,1997,5876.0
POLK,2012,39116.0
POLK,2007,45381.0
POLK,2002,37535.0
POLK,1997,42098.0
TILLAMOOK,2012,13318.0
TILLAMOOK,2007,10186.0
TILLAMOOK,2002,10500.0
TILLAMOOK,1997,11433.0
WASHINGTON,2012,28866.0
WASHINGTON,2007,25020.0
WASHINGTON,2002,25227.0
WASHINGTON,1997,27764.0
YAMHILL,2012,38017.0
YAMHILL,2007,32798.0
YAMHILL,2002,39635.0
YAMHILL,1997,46118.0
GILLIAM,2012,202994.0
GILLIAM,2007,183021.0
GILLIAM,2002,199315.0
GILLIAM,1997,280454.0
HOOD RIVER,2012,6318.0
HOOD RIVER,2007,4528.0
HOOD RIVER,2002,4045.0
HOOD RIVER,1997,5195.0
MORROW,2012,266642.0
MORROW,2007,254037.0
MORROW,2002,276849.0
MORROW,1997,309873.0
SHERMAN,2012,88928.0
SHERMAN,2007,85199.0
SHERMAN,2002,114392.0
SHERMAN,1997,89888.0
WASCO,2012,204262.0
WASCO,2007,226658.0
WASCO,2002,253844.0
WASCO,1997,232495.0
BAKER,2012,213264.0
BAKER,2007,301733.0
BAKER,2002,236525.0
BAKER,1997,236985.0
UMATILLA,2012,262483.0
UMATILLA,2007,322868.0
UMATILLA,2002,269622.0
UMATILLA,1997,280782.0
UNION,2012,76486.0
UNION,2007,78973.0
UNION,2002,65168.0
UNION,1997,113496.0
WALLOWA,2012,136418.0
WALLOWA,2007,110238.0
WALLOWA,2002,116115.0
WALLOWA,1997,123967.0
COOS,2012,50972.0
COOS,2007,30476.0
COOS,2002,35270.0
COOS,1997,37348.0
CURRY,2012,15595.0
CURRY,2007,10689.0
CURRY,2002,10354.0
CURRY,1997,19193.0
DOUGLAS,2012,68470.0
DOUGLAS,2007,82552.0
DOUGLAS,2002,62490.0
DOUGLAS,1997,70104.0
JACKSON,2012,18027.0
JACKSON,2007,35257.0
JACKSON,2002,45996.0
JACKSON,1997,32722.0
JOSEPHINE,2012,2299.0
JOSEPHINE,2007,2194.0
JOSEPHINE,2002,2980.0
JOSEPHINE,1997,3112.0
CROOK,2012,143378.0
CROOK,2007,109204.0
CROOK,2002,181160.0
CROOK,1997,190383.0
DESCHUTES,2012,33917.0
DESCHUTES,2007,38717.0
DESCHUTES,2002,17289.0
DESCHUTES,1997,14773.0
GRANT,2012,184139.0
GRANT,2007,176619.0
GRANT,2002,192528.0
GRANT,1997,251223.0
HARNEY,2012,487830.0
HARNEY,2007,580656.0
HARNEY,2002,578966.0
HARNEY,1997,363718.0
JEFFERSON,2012,43007.0
JEFFERSON,2007,123209.0
JEFFERSON,2002,40669.0
JEFFERSON,1997,108250.0
KLAMATH,2012,120125.0
KLAMATH,2007,113202.0
KLAMATH,2002,112562.0
KLAMATH,1997,145189.0
LAKE,2012,173974.0
LAKE,2007,118725.0
LAKE,2002,168678.0
LAKE,1997,260232.0
MALHEUR,2012,216505.0
MALHEUR,2007,300858.0
