county_name,year,acres
BENTON,2012,40776
BENTON,2007,34326
BENTON,2002,34659
BENTON,1997,28476
CLACKAMAS,2012,26445
CLACKAMAS,2007,36691
CLACKAMAS,2002,39485
CLACKAMAS,1997,37614
CLATSOP,2012,2003
CLATSOP,2007,3793
CLATSOP,2002,3976
CLATSOP,1997,5498
COLUMBIA,2012,8943
COLUMBIA,2007,10002
COLUMBIA,2002,9765
COLUMBIA,1997,15599
LANE,2012,37114
LANE,2007,35817
LANE,2002,34752
LANE,1997,45647
LINCOLN,2012,3325
LINCOLN,2007,3991
LINCOLN,2002,3396
LINCOLN,1997,4266
LINN,2012,83313
LINN,2007,89302
LINN,2002,81040
LINN,1997,88499
MARION,2012,83155
MARION,2007,72470
MARION,2002,80791
MARION,1997,86464
MULTNOMAH,2012,4842
MULTNOMAH,2007,6615
MULTNOMAH,2002,7973
MULTNOMAH,1997,5876
POLK,2012,39116
POLK,2007,45381
POLK,2002,37535
POLK,1997,42098
TILLAMOOK,2012,13318
TILLAMOOK,2007,10186
TILLAMOOK,2002,10500
TILLAMOOK,1997,11433
WASHINGTON,2012,28866
WASHINGTON,2007,25020
WASHINGTON,2002,25227
WASHINGTON,1997,27764
YAMHILL,2012,38017
YAMHILL,2007,32798
YAMHILL,2002,39635
YAMHILL,1997,46118
GILLIAM,2012,202994
GILLIAM,2007,183021
GILLIAM,2002,199315
GILLIAM,1997,280454
HOOD RIVER,2012,6318
HOOD RIVER,2007,4528
HOOD RIVER,2002,4045
HOOD RIVER,1997,5195
MORROW,2012,266642
MORROW,2007,254037
MORROW,2002,276849
MORROW,1997,309873
SHERMAN,2012,88928
SHERMAN,2007,85199
SHERMAN,2002,114392
SHERMAN,1997,89888
WASCO,2012,204262
WASCO,2007,226658
WASCO,2002,253844
WASCO,1997,232495
BAKER,2012,213264
BAKER,2007,301733
BAKER,2002,236525
BAKER,1997,236985
UMATILLA,2012,262483
UMATILLA,2007,322868
UMATILLA,2002,269622
UMATILLA,1997,280782
UNION,2012,76486
UNION,2007,78973
UNION,2002,65168
UNION,1997,113496
WALLOWA,2012,136418
WALLOWA,2007,110238
WALLOWA,2002,116115
WALLOWA,1997,123967
COOS,2012,50972
COOS,2007,30476
COOS,2002,35270
COOS,1997,37348
CURRY,2012,15595
CURRY,2007,10689
CURRY,2002,10354
CURRY,1997,19193
DOUGLAS,2012,68470
DOUGLAS,2007,82552
DOUGLAS,2002,62490
DOUGLAS,1997,70104
JACKSON,2012,18027
JACKSON,2007,35257
JACKSON,2002,45996
JACKSON,1997,32722
JOSEPHINE,2012,2299
JOSEPHINE,2007,2194
JOSEPHINE,2002,2980
JOSEPHINE,1997,3112
CROOK,2012,143378
CROOK,2007,109204
CROOK,2002,181160
CROOK,1997,190383
DESCHUTES,2012,33917
DESCHUTES,2007,38717
DESCHUTES,2002,17289
DESCHUTES,1997,14773
GRANT,2012,184139
GRANT,2007,176619
GRANT,2002,192528
GRANT,1997,251223
HARNEY,2012,487830
HARNEY,2007,580656
HARNEY,2002,578966
HARNEY,1997,363718
JEFFERSON,2012,43007
JEFFERSON,2007,123209
JEFFERSON,2002,40669
JEFFERSON,1997,108250
KLAMATH,2012,120125
KLAMATH,2007,113202
KLAMATH,2002,112562
KLAMATH,1997,145189
LAKE,2012,173974
LAKE,2007,118725
LAKE,2002,168678
LAKE,1997,260232
MALHEUR,2012,216505
MALHEUR,2007,300858
MALHEUR,2002,285337
MALHEUR,1997,348740
WHEELER,2012,126819
WHEELER,2007,157653
WHEELER,2002,131822
WHEELER,1997,247763
BENTON,2012,26461
BENTON,2007,32695
BENTON,2002,38884
BENTON,1997,42650
CLACKAMAS,2012,36576
CLACKAMAS,2007,46463
CLACKAMAS,2002,39868
CLACKAMAS,1997,40695
CLATSOP,2007,4170
CLATSOP,1997,4343
COLUMBIA,2012,10607
COLUMBIA,2007,9914
COLUMBIA,2002,7706
COLUMBIA,1997,12203
LANE,2012,61999
LANE,2007,57468
LANE,2002,56892
LANE,1997,53167
LINCOLN,2007,2813
LINCOLN,2002,2801
LINCOLN,1997,6491
LINN,2012,133993
LINN,2007,145352
LINN,2002,145005
LINN,1997,160249
MARION,2012,92821
MARION,2007,92259
MARION,2002,105203
MARION,1997,101262
MULTNOMAH,2012,9472
MULTNOMAH,2007,7112
MULTNOMAH,2002,9920
MULTNOMAH,1997,9752
POLK,2012,37772
POLK,2007,56380
POLK,2002,48774
POLK,1997,54166
TILLAMOOK,2012,8337
TILLAMOOK,2002,6176
TILLAMOOK,1997,7750
WASHINGTON,2012,36843
WASHINGTON,2007,39348
WASHINGTON,2002,37902
WASHINGTON,1997,40906
YAMHILL,2012,41124
YAMHILL,2007,40521
YAMHILL,2002,50625
YAMHILL,1997,48159
GILLIAM,2012,141155
GILLIAM,2007,209031
GILLIAM,2002,157576
GILLIAM,1997,165684
HOOD RIVER,2012,2167
HOOD RIVER,2007,2522
HOOD RIVER,1997,2942
MORROW,2012,290301
MORROW,2007,269634
MORROW,2002,320386
MORROW,1997,311153
SHERMAN,2012,204104
SHERMAN,2007,156794
SHERMAN,2002,167440
SHERMAN,1997,156871
WASCO,2012,228206
WASCO,2007,130779
WASCO,2002,207383
WASCO,1997,229107
BAKER,2012,178939
BAKER,2007,156480
BAKER,2002,234010
BAKER,1997,216398
UMATILLA,2012,286935
UMATILLA,2007,384793
UMATILLA,2002,391194
UMATILLA,1997,396564
UNION,2012,111915
UNION,2007,147353
UNION,2002,174545
UNION,1997,154451
WALLOWA,2012,91348
WALLOWA,2007,130401
WALLOWA,2002,130282
WALLOWA,1997,151364
COOS,2012,20604
COOS,2007,24799
COOS,2002,32280
COOS,1997,29447
CURRY,2012,5087
CURRY,2007,13362
CURRY,2002,8177
CURRY,1997,19181
DOUGLAS,2012,88155
DOUGLAS,2007,100432
DOUGLAS,2002,80623
DOUGLAS,1997,106781
JACKSON,2012,72549
JACKSON,2007,57020
JACKSON,2002,66097
JACKSON,1997,55408
JOSEPHINE,2012,3754
JOSEPHINE,2007,6484
JOSEPHINE,2002,2993
JOSEPHINE,1997,4590
CROOK,2012,90148
CROOK,2007,108822
CROOK,2002,170379
CROOK,1997,213901
DESCHUTES,2012,12344
DESCHUTES,2007,17569
DESCHUTES,2002,22929
DESCHUTES,1997,21562
GRANT,2012,131397
GRANT,2007,202588
GRANT,2002,193331
GRANT,1997,241908
HARNEY,2012,218185
HARNEY,2007,229727
HARNEY,2002,206269
HARNEY,1997,176861
JEFFERSON,2012,105733
JEFFERSON,2007,143972
JEFFERSON,2002,109252
JEFFERSON,1997,93727
KLAMATH,2012,292989
KLAMATH,2007,170070
KLAMATH,2002,173175
KLAMATH,1997,183880
LAKE,2012,78580
LAKE,2002,128988
LAKE,1997,150791
MALHEUR,2012,144091
MALHEUR,2007,146099
MALHEUR,2002,142206
MALHEUR,1997,159675
WHEELER,2012,195504
WHEELER,2007,144596
WHEELER,2002,215559
WHEELER,1997,148652
BENTON,2012,5222
BENTON,2007,3181
BENTON,2002,1547
CLACKAMAS,2012,5104
CLACKAMAS,2007,6166
CLACKAMAS,2002,6135
CLATSOP,2012,331
CLATSOP,2007,365
CLATSOP,2002,348
COLUMBIA,2012,889
COLUMBIA,2007,1519
COLUMBIA,2002,1204
LANE,2012,13478
LANE,2007,13027
LANE,2002,4092
LINCOLN,2012,303
LINCOLN,2007,460
LINCOLN,2002,132
LINN,2012,6702
LINN,2007,5492
LINN,2002,9085
MARION,2012,5435
MARION,2007,19957
MARION,2002,3425
MULTNOMAH,2012,2007
MULTNOMAH,2007,677
MULTNOMAH,2002,655
POLK,2012,2438
POLK,2007,4182
POLK,2002,2159
TILLAMOOK,2012,224
TILLAMOOK,2007,542
TILLAMOOK,2002,126
WASHINGTON,2012,3723
WASHINGTON,2007,2029
WASHINGTON,2002,2794
YAMHILL,2012,7501
YAMHILL,2007,6111
YAMHILL,2002,3607
GILLIAM,2007,4752
GILLIAM,2002,3428
HOOD RIVER,2012,1494
HOOD RIVER,2007,1363
HOOD RIVER,2002,973
MORROW,2012,7884
MORROW,2007,14207
MORROW,2002,9006
SHERMAN,2012,1714
SHERMAN,2007,3511
SHERMAN,2002,8222
WASCO,2012,3410
WASCO,2007,1813
WASCO,2002,2488
BAKER,2012,4576
BAKER,2007,5567
BAKER,2002,3479
UMATILLA,2012,31069
UMATILLA,2007,22041
UMATILLA,2002,15373
UNION,2012,2850
UNION,2007,6002
UNION,2002,2405
WALLOWA,2012,1399
WALLOWA,2007,3180
WALLOWA,2002,1437
COOS,2012,1246
COOS,2007,2281
COOS,2002,1273
CURRY,2007,121
CURRY,2002,185
DOUGLAS,2012,4340
DOUGLAS,2007,5036
DOUGLAS,2002,3441
JACKSON,2012,4977
JACKSON,2007,7035
JACKSON,2002,4734
JOSEPHINE,2012,844
JOSEPHINE,2007,826
JOSEPHINE,2002,558
CROOK,2012,1568
CROOK,2007,1618
CROOK,2002,2578
DESCHUTES,2012,1818
DESCHUTES,2007,3551
DESCHUTES,2002,2433
GRANT,2012,1056
GRANT,2007,3714
GRANT,2002,2421
HARNEY,2012,4877
HARNEY,2007,7056
HARNEY,2002,4354
JEFFERSON,2012,1374
JEFFERSON,2007,1720
JEFFERSON,2002,1053
KLAMATH,2012,5406
KLAMATH,2007,4807
KLAMATH,2002,8250
LAKE,2012,6603
LAKE,2007,13591
LAKE,2002,8634
MALHEUR,2012,4790
MALHEUR,2007,5912
MALHEUR,2002,4171
WHEELER,2007,485
WHEELER,2002,326
BENTON,2012,9809
BENTON,2007,10463
BENTON,2002,10202
BENTON,1997,15612
CLACKAMAS,2012,25717
CLACKAMAS,2007,27547
CLACKAMAS,2002,31762
CLACKAMAS,1997,30126
CLATSOP,2012,1348
CLATSOP,2007,1810
CLATSOP,2002,1684
CLATSOP,1997,1868
COLUMBIA,2012,6321
COLUMBIA,2007,6863
COLUMBIA,2002,8882
COLUMBIA,1997,7273
LANE,2012,21254
LANE,2007,25139
LANE,2002,23036
LANE,1997,22212
LINCOLN,2012,2164
LINCOLN,2007,1897
LINCOLN,2002,1936
LINCOLN,1997,1808
LINN,2012,17613
LINN,2007,24391
LINN,2002,33037
LINN,1997,24082
MARION,2012,21618
MARION,2007,33144
MARION,2002,37347
MARION,1997,32815
MULTNOMAH,2012,3928
MULTNOMAH,2007,4096
MULTNOMAH,2002,4384
MULTNOMAH,1997,2718
POLK,2012,17195
POLK,2007,13915
POLK,2002,18444
POLK,1997,23161
TILLAMOOK,2012,2107
TILLAMOOK,2007,2550
TILLAMOOK,2002,1925
TILLAMOOK,1997,1618
WASHINGTON,2012,11585
WASHINGTON,2007,17176
WASHINGTON,2002,17023
WASHINGTON,1997,19840
YAMHILL,2012,24440
YAMHILL,2007,30217
YAMHILL,2002,27170
YAMHILL,1997,24443
GILLIAM,2012,28667
GILLIAM,2007,19104
GILLIAM,2002,21233
GILLIAM,1997,34954
HOOD RIVER,2012,8391
HOOD RIVER,2007,10185
HOOD RIVER,2002,11173
HOOD RIVER,1997,11333
MORROW,2012,47762
MORROW,2007,58123
MORROW,2002,34991
MORROW,1997,50877
SHERMAN,2012,20002
SHERMAN,2007,17420
SHERMAN,2002,9844
SHERMAN,1997,18814
WASCO,2012,20703
WASCO,2007,20684
WASCO,2002,26072
WASCO,1997,19112
BAKER,2012,30766
BAKER,2007,21435
BAKER,2002,30648
BAKER,1997,29342
UMATILLA,2012,87491
UMATILLA,2007,84020
UMATILLA,2002,69871
UMATILLA,1997,62909
UNION,2012,29955
UNION,2007,28174
UNION,2002,40062
UNION,1997,36104
WALLOWA,2012,10912
WALLOWA,2007,15497
WALLOWA,2002,14067
WALLOWA,1997,14490
COOS,2012,6291
COOS,2007,8675
COOS,2002,7022
COOS,1997,7039
CURRY,2012,1298
CURRY,2007,1460
CURRY,2002,1825
CURRY,1997,1268
DOUGLAS,2012,19439
DOUGLAS,2007,20313
DOUGLAS,2002,20634
DOUGLAS,1997,20840
JACKSON,2012,13871
JACKSON,2007,17957
JACKSON,2002,16003
JACKSON,1997,16688
JOSEPHINE,2012,5083
JOSEPHINE,2007,5225
JOSEPHINE,2002,5820
JOSEPHINE,1997,6040
CROOK,2012,27411
CROOK,2007,26018
CROOK,2002,25299
CROOK,1997,22076
DESCHUTES,2012,14068
DESCHUTES,2007,15032
DESCHUTES,2002,16019
DESCHUTES,1997,16893
GRANT,2012,15055
GRANT,2007,13690
GRANT,2002,17575
GRANT,1997,19593
HARNEY,2012,109946
HARNEY,2007,76342
HARNEY,2002,54306
HARNEY,1997,71757
JEFFERSON,2012,10186
JEFFERSON,2007,13595
JEFFERSON,2002,15731
JEFFERSON,1997,11923
KLAMATH,2012,32683
KLAMATH,2007,44312
KLAMATH,2002,67279
KLAMATH,1997,49577
LAKE,2012,51834
LAKE,2007,78555
LAKE,2002,91994
LAKE,1997,50414
MALHEUR,2012,82176
MALHEUR,2007,62848
MALHEUR,2002,70410
MALHEUR,1997,71456
WHEELER,2012,4058
WHEELER,2007,4131
WHEELER,2002,5485
WHEELER,1997,5870
BENTON,2012,45850
BENTON,2007,48336
BENTON,2002,61854
BENTON,1997,46191
CLACKAMAS,2012,41296
CLACKAMAS,2007,53099
CLACKAMAS,2002,46253
CLACKAMAS,1997,41272
CLATSOP,1997,2364
COLUMBIA,2012,9456
COLUMBIA,2007,9941
COLUMBIA,2002,8055
